Variable,Type,Categories,Missing_Value,Left_Right_Side,Left_Label,Right_Label,Left_Right_Approach
SVAD_identifier,other,,,,,,
SEX,other,,,,,,
agey,x,,-1,,,,
FDL,continuous,,-1,end,_L,_R,left
FMSB,continuous,,-1,end,_L,_R,left
FDB,continuous,,-1,end,_L,_R,left
TDL,continuous,,-1,end,_L,_R,left
TPB,continuous,,-1,end,_L,_R,left
TMSB,continuous,,-1,end,_L,_R,left
TDB,continuous,,-1,end,_L,_R,left
FBDL,continuous,,-1,end,_L,_R,left
HDL,continuous,,-1,end,_L,_R,left
HPB,continuous,,-1,end,_L,_R,left
HMSB,continuous,,-1,end,_L,_R,left
HDB,continuous,,-1,end,_L,_R,left
RDL,continuous,,-1,end,_L,_R,left
RPB,continuous,,-1,end,_L,_R,left
RMSB,continuous,,-1,end,_L,_R,left
RDB,continuous,,-1,end,_L,_R,left
UDL,continuous,,-1,end,_L,_R,left
UMSB,continuous,,-1,end,_L,_R,left
