model,N,tmlp,X..Accuracy,RMSE
CC_Oss_US_all_c,263,1.5881,0.97,2.305
CT_EF_US_all_c,255,1.8019,0.95,2.089
FBDE_EF_US_all_c,257,1.7045,0.96,2.862
FBDE_EF_US_all,257,1.6654,0.94,2.793
FBDL_US_all_c,160,0.3034,0.96,1.205
FBPE_EF_US_all_c,257,1.7176,0.95,2.268
FBPE_EF_US_all,257,1.6719,0.95,2.189
FDB_US_all_c,184,0.8994,0.96,1.881
FDE_EF_US_all_c,256,2.0394,0.93,3.494
FDE_EF_US_all,256,1.9875,0.93,3.417
FDL_US_all_c,155,0.0895,0.97,0.939
FGT_EF_US_all_c,257,1.6978,0.95,2.125
FH_EF_US_all_c,262,1.8039,0.94,2.839
FH_EF_US_all,262,1.7362,0.93,2.632
FLT_EF_US_all_c,261,1.837,0.96,2.141
FMSB_US_all_c,157,0.8853,0.96,2.261
HC_Oss_US_all_c,262,2.275,0.95,6.574
HDB_US_all_c,166,0.9469,0.9,2.295
HDE_EF_US_all_c,260,1.92,0.95,2.496
HDE_EF_US_all,260,1.9122,0.93,2.473
HDL_US_all_c,138,-0.077,0.96,0.688
HGT_Oss_US_all_c,265,2.2141,0.94,5.907
HH_Oss_US_all_c,267,2.4992,0.96,7.299
HLE_Oss_US_all_c,260,2.0142,0.95,2.786
HLT_Oss_US_all_c,266,2.1379,0.96,4.988
HME_EF_US_all_c,261,1.788,0.95,2.139
HMSB_US_all_c,160,1.1064,0.92,2.932
HPB_US_all_c,187,0.9079,0.97,1.508
HPE_EF_US_all_c,266,1.7381,0.96,2.639
HPE_EF_US_all,266,1.6614,0.96,2.532
HT_Oss_US_all_c,261,2.0582,0.95,3.203
IC_EF_US_all_c,112,2.0601,0.87,3.056
ILIS_EF_US_all_c,261,1.9623,0.94,2.738
ISPR_EF_US_all_c,261,2.0228,0.93,3.045
man_C_US_all_c,204,1.8799,0.92,1.849
man_I1_US_all_c,211,1.8092,0.94,2.315
man_I2_US_all_c,210,1.833,0.92,2.171
man_M1_US_all_c,228,1.6694,0.95,2.275
man_M2_US_all_c,161,1.9529,0.94,1.756
man_M3_US_all_c,117,1.9313,0.95,1.81
man_PM1_US_all_c,174,1.9557,0.95,1.917
man_PM2_US_all_c,161,1.9596,0.97,1.863
max_C_US_all_c,202,1.844,0.93,1.889
max_I1_US_all_c,212,1.7983,0.95,2.312
max_I2_US_all_c,194,1.9832,0.94,2.182
max_M1_US_all_c,225,1.6919,0.97,2.336
max_M2_US_all_c,162,1.9192,0.95,1.679
max_M3_US_all_c,116,1.9447,0.96,1.883
max_PM1_US_all_c,174,1.9205,0.96,1.917
max_PM2_US_all_c,161,1.9077,0.96,1.797
PC_Oss_US_all_c,257,2.0179,0.98,4.175
RDB_US_all_c,178,1.1598,0.96,2.151
RDE_EF_US_all_c,262,1.7714,0.92,3.021
RDE_EF_US_all,262,1.7365,0.91,2.971
RDL_US_all_c,143,0.1071,0.98,0.624
RMSB_US_all_c,161,1.2049,0.93,2.639
RPB_US_all_c,168,1.028,0.95,2.15
RPE_EF_US_all_c,262,1.8081,0.94,2.209
RPE_EF_US_all,262,1.7994,0.94,2.153
TC_Oss_US_all_c,255,1.8712,0.96,4.453
TDB_US_all_c,180,1.0807,0.95,1.982
TDE_EF_US_all_c,257,1.7112,0.95,2.842
TDE_EF_US_all,257,1.67,0.96,2.751
TDL_US_all_c,159,0.2497,0.96,1.076
TMSB_US_all_c,160,1.0193,0.94,2.454
TPB_US_all,181,0.8479,0.96,1.714
TPE_EF_US_all_c,253,1.954,0.96,3.075
TPE_EF_US_all,253,1.8945,0.93,2.977
UDE_EF_US_all_c,262,1.7934,0.93,2.066
UDE_EF_US_all,262,1.7674,0.93,1.998
UDL_US_all_c,148,0.2488,0.96,0.996
UMSB_US_all_c,159,1.3488,0.91,3.647
UPE_EF_US_all_c,261,1.8943,0.95,2.316
UPE_EF_US_all,261,1.8779,0.93,2.258
cdep_model_US_dent,211,1.4132,0.84,1.161
cdep_model_US_ef_oss_c,303,1.4995,0.79,1.533
cdep_model_US_eighteen_var_c,323,0.9434,0.9,1.167
cdep_model_US_eighteen_var,323,0.9216,0.91,1.164
cdep_model_US_lb,193,0.5173,0.93,1.44
cdep_model_US_prox_dist_c,263,1.3428,0.87,1.548
cdep_model_US_prox_dist,263,1.3521,0.86,1.47
cindep_model_US_dent,211,2.0458,0.71,1.142
cindep_model_US_ef_oss_c,303,2.6683,0.64,1.717
cindep_model_US_eighteen_var_c,323,1.1965,0.82,1.203
cindep_model_US_eighteen_var,323,1.2188,0.83,1.202
cindep_model_US_lb,193,3.4524,0.56,1.217
cindep_model_US_prox_dist_c,263,2.4014,0.7,1.841
cindep_model_US_prox_dist,263,2.5076,0.71,1.712
