model,% Accuracy,RMSE
CC_Oss_US_all_c,0.97,2.305
CT_EF_US_all_c,0.95,2.089
FBDE_EF_US_all_c,0.96,2.862
FBDE_EF_US_all,0.94,2.793
FBDL_US_all_c,0.96,1.205
FBPE_EF_US_all_c,0.95,2.268
FBPE_EF_US_all,0.95,2.189
FDB_US_all_c,0.96,1.881
FDE_EF_US_all_c,0.93,3.494
FDE_EF_US_all,0.93,3.417
FDL_US_all_c,0.97,0.939
FGT_EF_US_all_c,0.95,2.125
FH_EF_US_all_c,0.94,2.839
FH_EF_US_all,0.93,2.632
FLT_EF_US_all_c,0.96,2.141
FMSB_US_all_c,0.96,2.261
HC_Oss_US_all_c,0.95,6.574
HDB_US_all_c,0.9,2.295
HDE_EF_US_all_c,0.95,2.496
HDE_EF_US_all,0.93,2.473
HDL_US_all_c,0.96,0.688
HGT_Oss_US_all_c,0.94,5.907
HH_Oss_US_all_c,0.96,7.299
HLE_Oss_US_all_c,0.95,2.786
HLT_Oss_US_all_c,0.96,4.988
HME_EF_US_all_c,0.95,2.139
HMSB_US_all_c,0.92,2.932
HPB_US_all_c,0.97,1.508
HPE_EF_US_all_c,0.96,2.639
HPE_EF_US_all,0.96,2.532
HT_Oss_US_all_c,0.95,3.203
IC_EF_US_all_c,0.87,3.056
ILIS_EF_US_all_c,0.94,2.738
ISPR_EF_US_all_c,0.93,3.045
man_C_US_all_c,0.92,1.849
man_I1_US_all_c,0.94,2.315
man_I2_US_all_c,0.92,2.171
man_M1_US_all_c,0.95,2.275
man_M2_US_all_c,0.94,1.756
man_M3_US_all_c,0.95,1.81
man_PM1_US_all_c,0.95,1.917
man_PM2_US_all_c,0.97,1.863
max_C_US_all_c,0.93,1.889
max_I1_US_all_c,0.95,2.312
max_I2_US_all_c,0.94,2.182
max_M1_US_all_c,0.97,2.336
max_M2_US_all_c,0.95,1.679
max_M3_US_all_c,0.96,1.883
max_PM1_US_all_c,0.96,1.917
max_PM2_US_all_c,0.96,1.797
PC_Oss_US_all_c,0.98,4.175
RDB_US_all_c,0.96,2.151
RDE_EF_US_all_c,0.92,3.021
RDE_EF_US_all,0.91,2.971
RDL_US_all_c,0.98,0.624
RMSB_US_all_c,0.93,2.639
RPB_US_all_c,0.95,2.15
RPE_EF_US_all_c,0.94,2.209
RPE_EF_US_all,0.94,2.153
TC_Oss_US_all_c,0.96,4.453
TDB_US_all_c,0.95,1.982
TDE_EF_US_all_c,0.95,2.842
TDE_EF_US_all,0.96,2.751
TDL_US_all_c,0.96,1.076
TMSB_US_all_c,0.94,2.454
TPB_US_all,0.96,1.714
TPE_EF_US_all_c,0.96,3.075
TPE_EF_US_all,0.93,2.977
UDE_EF_US_all_c,0.93,2.066
UDE_EF_US_all,0.93,1.998
UDL_US_all_c,0.96,0.996
UMSB_US_all_c,0.91,3.647
UPE_EF_US_all_c,0.95,2.316
UPE_EF_US_all,0.93,2.258
cdep_model_US_dent,0.84,1.161
cdep_model_US_ef_oss_c,0.79,1.533
cdep_model_US_eighteen_var_c,0.9,1.167
cdep_model_US_eighteen_var,0.91,1.164
cdep_model_US_lb,0.93,1.44
cdep_model_US_prox_dist_c,0.87,1.548
cdep_model_US_prox_dist,0.86,1.47
cindep_model_US_dent,0.71,1.142
cindep_model_US_ef_oss_c,0.64,1.717
cindep_model_US_eighteen_var_c,0.82,1.203
cindep_model_US_eighteen_var,0.83,1.202
cindep_model_US_lb,0.56,1.217
cindep_model_US_prox_dist_c,0.7,1.841
cindep_model_US_prox_dist,0.71,1.712
