model,N,tmlp
CC_Oss_US_all_c,263,1.5881
CT_EF_US_all_c,255,1.8019
FBDE_EF_US_all_c,257,1.7045
FBDE_EF_US_all,257,1.6654
FBDL_US_all_c,160,0.3034
FBPE_EF_US_all_c,257,1.7176
FBPE_EF_US_all,257,1.6719
FDB_US_all_c,184,0.8994
FDE_EF_US_all_c,256,2.0394
FDE_EF_US_all,256,1.9875
FDL_US_all_c,155,0.0895
FGT_EF_US_all_c,257,1.6978
FH_EF_US_all_c,262,1.8039
FH_EF_US_all,262,1.7362
FLT_EF_US_all_c,261,1.837
FMSB_US_all_c,157,0.8853
HC_Oss_US_all_c,262,2.275
HDB_US_all_c,166,0.9469
HDE_EF_US_all_c,260,1.92
HDE_EF_US_all,260,1.9122
HDL_US_all_c,138,-0.077
HGT_Oss_US_all_c,265,2.2141
HH_Oss_US_all_c,267,2.4992
HLE_Oss_US_all_c,260,2.0142
HLT_Oss_US_all_c,266,2.1379
HME_EF_US_all_c,261,1.788
HMSB_US_all_c,160,1.1064
HPB_US_all_c,187,0.9079
HPE_EF_US_all_c,266,1.7381
HPE_EF_US_all,266,1.6614
HT_Oss_US_all_c,261,2.0582
IC_EF_US_all_c,112,2.0601
ILIS_EF_US_all_c,261,1.9623
ISPR_EF_US_all_c,261,2.0228
man_C_US_all_c,204,1.8799
man_I1_US_all_c,211,1.8092
man_I2_US_all_c,210,1.833
man_M1_US_all_c,228,1.6694
man_M2_US_all_c,161,1.9529
man_M3_US_all_c,117,1.9313
man_PM1_US_all_c,174,1.9557
man_PM2_US_all_c,161,1.9596
max_C_US_all_c,202,1.844
max_I1_US_all_c,212,1.7983
max_I2_US_all_c,194,1.9832
max_M1_US_all_c,225,1.6919
max_M2_US_all_c,162,1.9192
max_M3_US_all_c,116,1.9447
max_PM1_US_all_c,174,1.9205
max_PM2_US_all_c,161,1.9077
PC_Oss_US_all_c,257,2.0179
RDB_US_all_c,178,1.1598
RDE_EF_US_all_c,262,1.7714
RDE_EF_US_all,262,1.7365
RDL_US_all_c,143,0.1071
RMSB_US_all_c,161,1.2049
RPB_US_all_c,168,1.028
RPE_EF_US_all_c,262,1.8081
RPE_EF_US_all,262,1.7994
TC_Oss_US_all_c,255,1.8712
TDB_US_all_c,180,1.0807
TDE_EF_US_all_c,257,1.7112
TDE_EF_US_all,257,1.67
TDL_US_all_c,159,0.2497
TMSB_US_all_c,160,1.0193
TPB_US_all,181,0.8479
TPE_EF_US_all_c,253,1.954
TPE_EF_US_all,253,1.8945
UDE_EF_US_all_c,262,1.7934
UDE_EF_US_all,262,1.7674
UDL_US_all_c,148,0.2488
UMSB_US_all_c,159,1.3488
UPE_EF_US_all_c,261,1.8943
UPE_EF_US_all,261,1.8779
cdep_model_US_dent,211,1.4132
cdep_model_US_ef_oss_c,303,1.4995
cdep_model_US_eighteen_var_c,323,0.9434
cdep_model_US_eighteen_var,323,0.9216
cdep_model_US_lb,193,0.5173
cdep_model_US_prox_dist_c,263,1.3428
cdep_model_US_prox_dist,263,1.3521
cindep_model_US_dent,211,2.0458
cindep_model_US_ef_oss_c,303,2.6683
cindep_model_US_eighteen_var_c,323,1.1965
cindep_model_US_eighteen_var,323,1.2188
cindep_model_US_lb,193,3.4524
cindep_model_US_prox_dist_c,263,2.4014
cindep_model_US_prox_dist,263,2.5076
